year_region,CF_PV,perc_PV,CF_WT,perc_WT
PL43-2014,0.120209511,0.44,0.191515411,0.36
PL43-2015,0.127061548,0.57,0.2351129,0.58
PL51-1986,0.124263108,0.53,0.267017352,0.69
PL51-1987,0.112506395,0.23,0.255002626,0.65
PL51-1988,0.119505354,0.42,0.305205943,0.80
PL51-1989,0.126850952,0.57,0.268115525,0.69
PL51-1990,0.124021977,0.52,0.30411484,0.79
PL51-1991,0.123141103,0.51,0.246692009,0.62
PL51-1992,0.128627146,0.60,0.283444217,0.73
PL51-1993,0.11707186,0.35,0.289981849,0.75
PL51-1994,0.120602933,0.45,0.296022603,0.77
PL51-1995,0.11754965,0.36,0.28514726,0.74
PL51-1996,0.110681697,0.19,0.209612933,0.45
PL51-1997,0.123759194,0.52,0.256700799,0.66
PL51-1998,0.112857797,0.24,0.315758219,0.82
PL51-1999,0.120162971,0.44,0.272855594,0.70
PL51-2000,0.119188029,0.41,0.26679622,0.69
PL51-2001,0.109930723,0.18,0.236274201,0.58
PL51-2002,0.117674855,0.37,0.269984475,0.70
PL51-2003,0.130935362,0.62,0.230219292,0.55
PL51-2004,0.120056574,0.44,0.265100524,0.68
PL51-2005,0.125431271,0.55,0.239548973,0.60
PL51-2006,0.123145038,0.51,0.232066553,0.56
PL51-2007,0.120833767,0.45,0.291557763,0.76
PL51-2008,0.116962832,0.35,0.272403461,0.70
PL51-2009,0.116552763,0.34,0.230482306,0.55
PL51-2010,0.117957961,0.38,0.231069178,0.56
PL51-2011,0.132216104,0.63,0.251912329,0.64
PL51-2012,0.123316011,0.51,0.248793944,0.63
PL51-2013,0.105026626,0.11,0.226838813,0.54
PL51-2014,0.121071005,0.46,0.221048516,0.51
PL51-2015,0.12836386,0.59,0.266069292,0.69
PL52-1986,0.127463074,0.58,0.256792009,0.66
PL52-1987,0.11611511,0.32,0.262142922,0.68
PL52-1988,0.124915927,0.54,0.285891621,0.74
PL52-1989,0.127740592,0.58,0.258661301,0.67
PL52-1990,0.123399605,0.51,0.291290868,0.76
PL52-1991,0.123957507,0.52,0.244444178,0.61
PL52-1992,0.129614381,0.61,0.277218352,0.72
PL52-1993,0.118713564,0.40,0.276134589,0.71
PL52-1994,0.124075326,0.52,0.277854338,0.72
PL52-1995,0.119415148,0.42,0.278594292,0.72
PL52-1996,0.11362639,0.26,0.22323668,0.52
PL52-1997,0.123528603,0.51,0.252861758,0.65
PL52-1998,0.117428758,0.36,0.304123059,0.79
