Time step,ITH5PV,ITH5WT,NO03PV,NO03WT,ES42PV,ES42WT,UKC1PV,UKC1WT
264,0,0.019,0,0.953,0,0.206,0,0.789
265,0,0.012,0,0.954,0,0.243,0,0.746
266,0,0.003,0,0.963,0,0.286,0,0.675
267,0,0.001,0,0.977,0,0.319,0,0.583
268,0,0.001,0,0.988,0,0.348,0,0.488
269,0,0,0,0.995,0,0.356,0,0.422
270,0,0,0,0.999,0,0.355,0,0.411
271,0,0,0,1,0,0.367,0,0.405
272,0,0,0,0.999,0,0.386,0,0.403
273,0,0,0,0.997,0,0.411,0,0.42
274,0,0,0,0.995,0,0.433,0,0.432
275,0,0.003,0,0.966,0,0.448,0,0.414
276,0,0.001,0,0.848,0,0.442,0,0.38
277,0,0.003,0,0.68,0,0.415,0,0.366
278,0.22085,0.003,0,0.541,0.01447,0.387,0,0.336
279,0.45726,0,0.00934,0.398,0.11914,0.414,0.04288,0.27
280,0.60657,0,0.02812,0.325,0.17673,0.485,0.14825,0.182
281,0.67643,0,0.02932,0.273,0.21907,0.615,0.27174,0.126
282,0.67878,0,0.04197,0.245,0.23324,0.7,0.29306,0.099
283,0.62386,0,0.01624,0.275,0.22389,0.727,0.21809,0.067
284,0.50076,0,0.00771,0.249,0.20088,0.724,0.05477,0.051
285,0.30428,0,0,0.366,0.13342,0.743,0.00557,0.05
286,0,0,0,0.655,0.08718,0.783,0,0.046
287,0,0,0,0.737,0.00357,0.78,0,0.038
288,0,0.001,0,0.696,0,0.76,0,0.031
289,0,0.004,0,0.648,0,0.716,0,0.021
290,0,0.021,0,0.601,0,0.681,0,0.01
291,0,0.022,0,0.574,0,0.662,0,0.009
292,0,0.02,0,0.556,0,0.665,0,0.021
293,0,0.011,0,0.537,0,0.688,0,0.056
294,0,0.001,0,0.512,0,0.692,0,0.115
295,0,0,0,0.476,0,0.683,0,0.17
296,0,0,0,0.534,0,0.671,0,0.2
297,0,0,0,0.579,0,0.673,0,0.213
298,0,0,0,0.614,0,0.673,0,0.229
299,0,0,0,0.611,0,0.664,0,0.276
300,0,0,0,0.528,0,0.654,0,0.352
301,0,0.001,0,0.389,0,0.632,0,0.441
302,0.22202,0,0,0.297,0.00532,0.592,0,0.531
303,0.45176,0,0.0164,0.208,0.09182,0.557,0.02399,0.565
304,0.6004,0,0.03563,0.115,0.14533,0.614,0.06101,0.55
305,0.67326,0,0.036,0.081,0.19858,0.681,0.05186,0.533
306,0.6762,0,0.02347,0.089,0.23693,0.733,0.05743,0.574
307,0.62279,0,0.01856,0.119,0.25248,0.751,0.10761,0.652
308,0.50147,0.001,0.00656,0.204,0.22188,0.741,0.02068,0.774
309,0.30726,0.004,0,0.297,0.17409,0.676,0.00305,0.87
310,0,0.015,0,0.356,0.13207,0.593,0,0.923
311,0,0.057,0,0.399,0.0166,0.589,0,0.938
312,0,0.066,0,0.502,0,0.567,0,0.918
313,0,0.065,0,0.62,0,0.522,0,0.878
314,0,0.06,0,0.725,0,0.485,0,0.834
315,0,0.035,0,0.794,0,0.453,0,0.765
316,0,0.014,0,0.836,0,0.426,0,0.687
317,0,0.002,0,0.862,0,0.395,0,0.62
318,0,0.003,0,0.928,0,0.374,0,0.573
319,0,0.004,0,0.976,0,0.349,0,0.543
320,0,0.006,0,0.994,0,0.332,0,0.534
321,0,0.005,0,0.995,0,0.304,0,0.58
322,0,0.004,0,0.996,0,0.287,0,0.655
323,0,0.003,0,0.998,0,0.271,0,0.722
324,0,0.005,0,0.999,0,0.242,0,0.779
325,0,0.006,0,0.999,0,0.209,0,0.809
326,0.21213,0.001,0,0.962,0.01616,0.166,0,0.822
327,0.41997,0.001,0.02883,0.905,0.17465,0.148,0.0174,0.839
328,0.55946,0.001,0.01752,0.886,0.33036,0.155,0.04494,0.869
329,0.6268,0.001,0.03494,0.883,0.47386,0.147,0.13333,0.91
330,0.64406,0,0.04303,0.915,0.59505,0.159,0.04407,0.936
331,0.58274,0,0.03629,0.945,0.64649,0.154,0.13323,0.909
332,0.4591,0,0.00539,0.967,0.62277,0.146,0.18748,0.853
333,0.25743,0.001,0,0.987,0.49572,0.108,0.08194,0.859
334,0,0.01,0,0.989,0.29697,0.109,0,0.881
335,0,0.025,0,0.968,0.04594,0.139,0,0.953
336,0,0.041,0,0.89,0,0.14,0,0.968
337,0,0.052,0,0.711,0,0.119,0,0.972
338,0,0.054,0,0.788,0,0.091,0,0.974
339,0,0.048,0,0.94,0,0.062,0,0.98
340,0,0.032,0,0.98,0,0.046,0,0.988
341,0,0.019,0,0.974,0,0.036,0,0.996
342,0,0.021,0,0.973,0,0.028,0,0.991
343,0,0.024,0,0.983,0,0.02,0,0.958
344,0,0.018,0,0.986,0,0.015,0,0.945
345,0,0.023,0,0.991,0,0.009,0,0.925
346,0,0.028,0,0.984,0,0.012,0,0.903
347,0,0.056,0,0.976,0,0.017,0,0.926
348,0,0.047,0,0.975,0,0.037,0,0.977
349,0,0.033,0,0.958,0,0.074,0,0.987
350,0.20043,0.018,0,0.931,0.01684,0.112,0,0.943
351,0.398,0.004,0.03548,0.888,0.14007,0.089,0.01631,0.847
352,0.5434,0.004,0.04139,0.863,0.258,0.101,0.10604,0.779
353,0.63496,0.002,0.03838,0.895,0.3747,0.172,0.24285,0.725
354,0.66199,0.003,0.03149,0.938,0.45816,0.172,0.22866,0.648
355,0.60435,0.005,0.0207,0.977,0.49548,0.131,0.38255,0.592
356,0.4827,0.007,0.00597,0.997,0.43419,0.078,0.14415,0.553
357,0.28731,0.019,0,1.001,0.31692,0.043,0.04132,0.507
358,0,0.014,0,1,0.18128,0.046,0,0.488
359,0,0.019,0,1,0.08735,0.072,0,0.49
360,0,0.019,0,1,0,0.088,0,0.527
361,0,0.018,0,1,0,0.093,0,0.579
362,0,0.018,0,1,0,0.098,0,0.612
363,0,0.014,0,1.001,0,0.086,0,0.631
364,0,0.014,0,0.991,0,0.067,0,0.66
365,0,0.02,0,0.979,0,0.045,0,0.688
366,0,0.031,0,0.962,0,0.025,0,0.692
367,0,0.055,0,0.942,0,0.03,0,0.678
368,0,0.075,0,0.934,0,0.052,0,0.665
369,0,0.088,0,0.905,0,0.058,0,0.637
370,0,0.092,0,0.82,0,0.049,0,0.616
371,0,0.09,0,0.716,0,0.071,0,0.601
372,0,0.087,0,0.63,0,0.127,0,0.584
373,0,0.082,0,0.667,0,0.172,0,0.611
374,0.2373,0.066,0.00053,0.757,0.02689,0.17,0,0.611
375,0.46787,0.064,0.06701,0.836,0.19804,0.155,0.01092,0.69
376,0.33251,0.06,0.09893,0.88,0.3271,0.16,0.04971,0.713
377,0.67999,0.052,0.1097,0.897,0.41616,0.199,0.08366,0.724
378,0.67751,0.043,0.15248,0.918,0.4671,0.235,0.14646,0.712
379,0.62334,0.036,0.12501,0.93,0.48481,0.266,0.24321,0.696
380,0.5081,0.024,0.00494,0.925,0.46286,0.255,0.13423,0.704
381,0.31971,0.02,0,0.911,0.37426,0.215,0.08335,0.702
382,0,0.019,0,0.894,0.21395,0.189,0,0.709
383,0,0.013,0,0.885,0.06866,0.216,0,0.703
384,0,0.005,0,0.86,0,0.222,0,0.688
385,0,0.001,0,0.865,0,0.214,0,0.656
386,0,0,0,0.829,0,0.214,0,0.612
387,0,0,0,0.887,0,0.239,0,0.556
388,0,0,0,0.889,0,0.269,0,0.509
389,0,0,0,0.88,0,0.283,0,0.455
390,0,0,0,0.89,0,0.291,0,0.407
391,0,0,0,0.89,0,0.327,0,0.364
392,0,0.005,0,0.892,0,0.368,0,0.324
393,0,0.012,0,0.916,0,0.378,0,0.256
394,0,0.019,0,0.914,0,0.362,0,0.192
395,0,0.034,0,0.911,0,0.321,0,0.15
396,0,0.049,0,0.916,0,0.32,0,0.124
397,0,0.079,0,0.931,0,0.328,0,0.093
398,0.22478,0.097,0.00275,0.948,0.03146,0.321,0,0.077
399,0.45136,0.071,0.01344,0.946,0.21697,0.291,0.03781,0.071
400,0.55738,0.073,0.02653,0.936,0.31111,0.323,0.05115,0.074
401,0.58517,0.082,0.04375,0.899,0.40549,0.394,0.11833,0.069
402,0.60495,0.069,0.04338,0.805,0.46807,0.452,0.23799,0.065
403,0.53916,0.05,0.03143,0.699,0.49619,0.51,0.3148,0.058
404,0.45204,0.073,0.00337,0.597,0.45887,0.537,0.09633,0.05
405,0.31443,0.118,0,0.462,0.37481,0.502,0.03726,0.056
406,0,0.167,0,0.319,0.23467,0.487,0,0.065
407,0,0.209,0,0.186,0.05259,0.542,0,0.082
408,0,0.233,0,0.08,0,0.559,0,0.096
409,0,0.236,0,0.015,0,0.554,0,0.095
410,0,0.218,0,0.017,0,0.553,0,0.082
411,0,0.178,0,0.051,0,0.538,0,0.066
412,0,0.153,0,0.155,0,0.51,0,0.057
413,0,0.152,0,0.36,0,0.484,0,0.05
414,0,0.173,0,0.483,0,0.469,0,0.042
415,0,0.209,0,0.558,0,0.458,0,0.034
416,0,0.257,0,0.582,0,0.454,0,0.027
417,0,0.314,0,0.494,0,0.449,0,0.017
418,0,0.335,0,0.42,0,0.445,0,0.01
419,0,0.323,0,0.359,0,0.421,0,0.005
420,0,0.301,0,0.239,0,0.397,0,0.002
421,0,0.275,0,0.119,0,0.393,0,0
422,0.23884,0.253,0.00421,0.067,0.01254,0.391,0,0
423,0.4665,0.25,0.02957,0.041,0.09605,0.414,0.03267,0
424,0.60933,0.285,0.07256,0.031,0.1387,0.523,0.12356,0
425,0.68191,0.298,0.13919,0.02,0.21323,0.676,0.16137,0
426,0.68936,0.296,0.12735,0.011,0.2046,0.782,0.27088,0
427,0.62993,0.266,0.13277,0.005,0.19786,0.814,0.19019,0
428,0.51346,0.228,0.01004,0.003,0.18021,0.791,0.11435,0
429,0.32264,0.273,0,0.01,0.14254,0.696,0.06996,0
430,0,0.285,0,0.017,0.11013,0.573,0,0.001
431,0,0.315,0,0.031,0.04918,0.518,0,0.004
