,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CZ,c_PV_OPT,338972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,531000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1317754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,672284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,869860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1404579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474,30.35454474
,p_E_AVG,0,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236,56.3390236
,p_E_PES,0,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112,108.3219112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,c_PV_OPT,350663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,549313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1363201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,695470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,899860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1453021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533,61.76708533
,p_E_AVG,0,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812,133.7316812
,p_E_PES,0,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711,290.0103711
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
